,Age,Candidate,Criminal_Case,PC_NAME,Education,Party,ST_NAME,Winner,Year,Liabilities_num,Assets_num,ST_PC
3486,54,Bishweswar Tudu,1,MAYURBHANJ,10th Pass,BJP,ODISHA,Yes,2019,400000,2742000,ODISHA:MAYURBHANJ
3530,68,V. Vaithilingam,0,PUDUCHERRY,Graduate,INC,PUDUCHERRY,Yes,2019,520989,108015548,PUDUCHERRY:PUDUCHERRY
3538,40,Ramesh Chandra Majhi,0,NABARANGPUR,Graduate,BJD,ODISHA,Yes,2019,771000,8100600,ODISHA:NABARANGPUR
3542,47,Nitesh Ganga Deb,1,SAMBALPUR,12th Pass,BJP,ODISHA,Yes,2019,10337195,269543587,ODISHA:SAMBALPUR
3544,40,Saptagiri Sankar Ulaka,0,KORAPUT,Graduate Professional,INC,ODISHA,Yes,2019,1217963,37587560,ODISHA:KORAPUT
3569,58,Basanta Kumar Panda,3,KALAHANDI,12th Pass,BJP,ODISHA,Yes,2019,0,9547000,ODISHA:KALAHANDI
3576,25,Chandrani Murmu,0,KEONJHAR,Graduate Professional,BJD,ODISHA,Yes,2019,0,340580,ODISHA:KEONJHAR
3584,55,Achyutananda Samanta,0,KANDHAMAL,Doctorate,BJD,ODISHA,Yes,2019,0,1244722,ODISHA:KANDHAMAL
3588,37,Anubhav Mohanty,0,KENDRAPARA,Graduate,BJD,ODISHA,Yes,2019,4133506,22309172,ODISHA:KENDRAPARA
3596,57,Smt. Sangeeta Kumari Singh Deo,0,BOLANGIR,Graduate,BJP,ODISHA,Yes,2019,7500000,379590851,ODISHA:BOLANGIR
3604,45,Sarmistha Sethi,0,JAJPUR,Post Graduate,BJD,ODISHA,Yes,2019,0,15837082,ODISHA:JAJPUR
3612,55,Rajashree Mallick,0,JAGATSINGHPUR,Graduate Professional,BJD,ODISHA,Yes,2019,1433305,40023972,ODISHA:JAGATSINGHPUR
3616,58,Mahesh Sahoo,1,DHENKANAL,12th Pass,BJD,ODISHA,Yes,2019,0,14529286,ODISHA:DHENKANAL
3619,62,Bhartruhari Mahtab,0,CUTTACK,Post Graduate,BJD,ODISHA,Yes,2019,0,106894976,ODISHA:CUTTACK
3641,49,Aparajita Sarangi,0,BHUBANESWAR,Graduate,BJP,ODISHA,Yes,2019,4329959,31677600,ODISHA:BHUBANESWAR
3647,42,Manjulata Mandal,0,BHADRAK,Graduate,BJD,ODISHA,Yes,2019,8958149,39417891,ODISHA:BHADRAK
3651,68,Chandra Sekhar Sahu,0,BERHAMPUR,10th Pass,BJD,ODISHA,Yes,2019,0,11716989,ODISHA:BERHAMPUR
3670,70,Pramila Bisoyi,0,ASKA,5th Pass,BJD,ODISHA,Yes,2019,0,732470,ODISHA:ASKA
3678,64,Pratap Chandra Sarangi,7,BALASORE,Graduate,BJP,ODISHA,Yes,2019,160,1346236,ODISHA:BALASORE
3690,57,Ramesh Bidhuri,2,SOUTH DELHI,Graduate Professional,BJP,NATIONAL CAPITAL TERRITORY OF DELHI,Yes,2019,2038454,180052708,NATIONAL CAPITAL TERRITORY OF DELHI:SOUTH DELHI
3698,41,Parvesh Sahib Singh,0,WEST DELHI,Post Graduate,BJP,NATIONAL CAPITAL TERRITORY OF DELHI,Yes,2019,40097329,155195014,NATIONAL CAPITAL TERRITORY OF DELHI:WEST DELHI
3703,57,Hans Raj Hans,0,NORTH WEST DELHI,10th Pass,BJP,NATIONAL CAPITAL TERRITORY OF DELHI,Yes,2019,47897494,130937732,NATIONAL CAPITAL TERRITORY OF DELHI:NORTH WEST DELHI
3718,48,Manoj Tiwari,3,NORTH EAST DELHI,Post Graduate,BJP,NATIONAL CAPITAL TERRITORY OF DELHI,Yes,2019,13618755,242817031,NATIONAL CAPITAL TERRITORY OF DELHI:NORTH EAST DELHI
3773,51,Meenakashi Lekhi,0,NEW DELHI,Graduate Professional,BJP,NATIONAL CAPITAL TERRITORY OF DELHI,Yes,2019,7938378,361441689,NATIONAL CAPITAL TERRITORY OF DELHI:NEW DELHI
3781,58,Suresh Pujari,0,BARGARH,Post Graduate,BJP,ODISHA,Yes,2019,0,11673429,ODISHA:BARGARH
3786,62,Tokheho Yepthomi,0,NAGALAND,Graduate,Nationalist Democratic Progressive Party,NAGALAND,Yes,2019,18600000,128117474,NAGALAND:NAGALAND
3808,64,Harsh Vardhan,0,CHANDNI CHOWK,Post Graduate,BJP,NATIONAL CAPITAL TERRITORY OF DELHI,Yes,2019,0,30171897,NATIONAL CAPITAL TERRITORY OF DELHI:CHANDNI CHOWK
3818,51,Vincent H. Pala,0,SHILLONG,Graduate Professional,INC,MEGHALAYA,Yes,2019,0,549515421,MEGHALAYA:SHILLONG
3821,62,C Lalrosanga,0,MIZORAM,Graduate,MNF,MIZORAM,Yes,2019,0,131201374,MIZORAM:MIZORAM
3825,59,Lorho S. Pfoze,0,OUTER MANIPUR,Graduate Professional,NPF,MANIPUR,Yes,2019,0,13709352,MANIPUR:OUTER MANIPUR
3829,38,Agatha K. Sangma,0,TURA,Post Graduate,NPP,MEGHALAYA,Yes,2019,0,29406813,MEGHALAYA:TURA
